Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Husein Augar;India;Raspberry Choco;04/01/2021;2 478,00 €;297;63
Gunar Cockshoot;UK;Baker's Choco Chips;04/01/2021;1 680,00 €;356;609
Gunar Cockshoot;India;Choco Coated Almonds;04/01/2021;3 178,00 €;87;119
Gunar Cockshoot;UK;Smooth Sliky Salty;04/01/2021;5 131,00 €;182;112
Beverie Moffet;UK;Almond Choco;04/01/2021;3 633,00 €;57;212
Madelene Upcott;USA;Fruit & Nut Bars;04/01/2021;7 819,00 €;213;247
Marney O'Breen;India;Orange Choco;04/01/2021;1 064,00 €;35;138
Beverie Moffet;New Zealand;Organic Choco Syrup;04/01/2021;3 465,00 €;156;259
Dennison Crosswaite;India;After Nines;04/01/2021;1 148,00 €;133;240
Beverie Moffet;India;Fruit & Nut Bars;04/01/2021;819,00 €;385;306
Marney O'Breen;Australia;Spicy Special Slims;04/01/2021;2 030,00 €;15;177
Karlen McCaffrey;New Zealand;Fruit & Nut Bars;04/01/2021;147,00 €;411;169
Oby Sorrel;India;Mint Chip Choco;04/01/2021;1 295,00 €;161;17
Kaine Padly;Australia;Orange Choco;04/01/2021;763,00 €;232;387
Gigi Bohling;Australia;Baker's Choco Chips;04/01/2021;4 305,00 €;151;387
Husein Augar;USA;Manuka Honey Choco;04/01/2021;4 851,00 €;49;35
Ches Bonnell;India;99% Dark & Pure;04/01/2021;987,00 €;186;271
Kaine Padly;Canada;85% Dark Bars;04/01/2021;4 704,00 €;181;266
Karlen McCaffrey;Canada;Almond Choco;04/01/2021;3 031,00 €;75;18
Dennison Crosswaite;Canada;Peanut Butter Cubes;04/01/2021;679,00 €;332;88
Gunar Cockshoot;Australia;Organic Choco Syrup;04/01/2021;6 804,00 €;213;455
Dotty Strutley;India;Choco Coated Almonds;04/01/2021;357,00 €;30;210
Wilone O'Kielt;UK;Spicy Special Slims;04/01/2021;3 815,00 €;52;424
Beverie Moffet;UK;99% Dark & Pure;04/01/2021;5 670,00 €;81;122
Karlen McCaffrey;Canada;White Choc;04/01/2021;3 010,00 €;168;155
Ches Bonnell;Australia;Manuka Honey Choco;04/01/2021;182,00 €;240;177
Barr Faughny;USA;Drinking Coco;04/01/2021;3 080,00 €;1;73
Ches Bonnell;Canada;Caramel Stuffed Bars;04/01/2021;3 101,00 €;38;643
Madelene Upcott;Australia;Eclairs;04/01/2021;2 233,00 €;274;132
Madelene Upcott;USA;Mint Chip Choco;04/01/2021;3 507,00 €;81;74
Gigi Bohling;Australia;Raspberry Choco;04/01/2021;8 554,00 €;36;403
Dotty Strutley;India;Organic Choco Syrup;04/01/2021;3 479,00 €;191;239
Curtice Advani;UK;Baker's Choco Chips;04/01/2021;1 225,00 €;291;348
Rafaelita Blaksland;India;Eclairs;04/01/2021;49,00 €;199;815
Husein Augar;New Zealand;Baker's Choco Chips;04/01/2021;4 487,00 €;137;175
Dotty Strutley;India;Spicy Special Slims;04/01/2021;1 652,00 €;292;240
Wilone O'Kielt;India;Organic Choco Syrup;05/01/2021;10 262,00 €;184;185
Oby Sorrel;Australia;Mint Chip Choco;05/01/2021;5 173,00 €;331;217
Jan Morforth;New Zealand;White Choc;05/01/2021;2 296,00 €;69;917
Rafaelita Blaksland;Canada;50% Dark Bites;05/01/2021;798,00 €;424;212
Madelene Upcott;India;White Choc;05/01/2021;910,00 €;260;231
Kelci Walkden;Canada;85% Dark Bars;05/01/2021;6 510,00 €;205;251
Marney O'Breen;New Zealand;Manuka Honey Choco;05/01/2021;3 892,00 €;275;213
Oby Sorrel;India;Spicy Special Slims;05/01/2021;4 704,00 €;47;53
Gunar Cockshoot;New Zealand;Baker's Choco Chips;05/01/2021;4 095,00 €;224;188
Gunar Cockshoot;Canada;Organic Choco Syrup;05/01/2021;11 466,00 €;138;315
Dotty Strutley;India;99% Dark & Pure;05/01/2021;2 324,00 €;51;178
Wilone O'Kielt;Canada;Baker's Choco Chips;05/01/2021;5 068,00 €;167;128
Wilone O'Kielt;New Zealand;Almond Choco;05/01/2021;8 855,00 €;357;436
Barr Faughny;India;Drinking Coco;05/01/2021;4 872,00 €;201;175
Wilone O'Kielt;Australia;Peanut Butter Cubes;05/01/2021;8 673,00 €;96;96
Curtice Advani;Australia;Orange Choco;05/01/2021;4 340,00 €;104;79
Barr Faughny;New Zealand;50% Dark Bites;05/01/2021;35,00 €;54;912
Wilone O'Kielt;Australia;85% Dark Bars;05/01/2021;1 659,00 €;174;43
Gunar Cockshoot;Canada;Spicy Special Slims;05/01/2021;4 774,00 €;146;345
Wilone O'Kielt;New Zealand;Milk Bars;05/01/2021;637,00 €;635;61
Barr Faughny;New Zealand;Drinking Coco;05/01/2021;2 828,00 €;251;208
Kaine Padly;India;Spicy Special Slims;05/01/2021;15 288,00 €;81;139
Gigi Bohling;Canada;85% Dark Bars;05/01/2021;952,00 €;170;627
Marney O'Breen;Australia;Mint Chip Choco;05/01/2021;2 632,00 €;435;823
Kaine Padly;Canada;Raspberry Choco;05/01/2021;8 736,00 €;24;82
Brien Boise;Australia;Baker's Choco Chips;05/01/2021;805,00 €;327;217
Rafaelita Blaksland;Australia;Peanut Butter Cubes;05/01/2021;8 316,00 €;83;138
Marney O'Breen;India;Milk Bars;05/01/2021;2 072,00 €;29;300
Curtice Advani;New Zealand;Orange Choco;05/01/2021;938,00 €;165;16
Madelene Upcott;Canada;Milk Bars;05/01/2021;4 592,00 €;46;96
Dennison Crosswaite;Australia;Drinking Coco;05/01/2021;8 008,00 €;132;338
Madelene Upcott;India;Organic Choco Syrup;05/01/2021;8 505,00 €;319;71
Wilone O'Kielt;Australia;Spicy Special Slims;05/01/2021;8 463,00 €;88;183
Marney O'Breen;New Zealand;Mint Chip Choco;05/01/2021;6 405,00 €;47;119
Gigi Bohling;New Zealand;70% Dark Bites;06/01/2021;2 723,00 €;31;444
Curtice Advani;New Zealand;After Nines;06/01/2021;595,00 €;21;115
Gigi Bohling;USA;99% Dark & Pure;06/01/2021;5 810,00 €;28;356
Marney O'Breen;Australia;White Choc;06/01/2021;10 206,00 €;33;58
Jan Morforth;Canada;Drinking Coco;06/01/2021;1 190,00 €;74;189
Dotty Strutley;UK;Drinking Coco;06/01/2021;4 410,00 €;209;141
Jan Morforth;Australia;Eclairs;06/01/2021;3 703,00 €;39;135
Curtice Advani;UK;70% Dark Bites;06/01/2021;4 865,00 €;220;106
Andria Kimpton;New Zealand;Raspberry Choco;06/01/2021;7 294,00 €;263;149
Gigi Bohling;New Zealand;Almond Choco;06/01/2021;3 388,00 €;290;266
Marney O'Breen;India;Manuka Honey Choco;06/01/2021;581,00 €;308;161
Brien Boise;Canada;Eclairs;06/01/2021;875,00 €;34;207
Husein Augar;UK;99% Dark & Pure;06/01/2021;2 331,00 €;322;625
Ches Bonnell;UK;After Nines;06/01/2021;259,00 €;350;486
Husein Augar;USA;Smooth Sliky Salty;06/01/2021;11 473,00 €;202;251
Oby Sorrel;USA;Raspberry Choco;06/01/2021;1 799,00 €;252;178
Dennison Crosswaite;Australia;Baker's Choco Chips;07/01/2021;882,00 €;157;1076
Karlen McCaffrey;India;85% Dark Bars;07/01/2021;5 306,00 €;10;217
Beverie Moffet;India;Smooth Sliky Salty;07/01/2021;7 210,00 €;84;30
Dotty Strutley;New Zealand;Almond Choco;07/01/2021;602,00 €;106;559
Gunar Cockshoot;Australia;Almond Choco;07/01/2021;2 163,00 €;166;85
Jan Morforth;Canada;Fruit & Nut Bars;07/01/2021;1 813,00 €;8;64
Brien Boise;USA;70% Dark Bites;07/01/2021;8 253,00 €;247;88
Kelci Walkden;Canada;Orange Choco;07/01/2021;175,00 €;115;166
Dennison Crosswaite;UK;Baker's Choco Chips;07/01/2021;3 535,00 €;78;83
Karlen McCaffrey;India;Organic Choco Syrup;07/01/2021;6 888,00 €;168;864
Rafaelita Blaksland;India;Peanut Butter Cubes;07/01/2021;5 845,00 €;124;75
Andria Kimpton;Australia;Almond Choco;07/01/2021;9 590,00 €;171;414
Marney O'Breen;Australia;50% Dark Bites;07/01/2021;938,00 €;119;328
Jan Morforth;Canada;Raspberry Choco;07/01/2021;6 251,00 €;77;220
Marney O'Breen;Canada;Almond Choco;07/01/2021;126,00 €;89;315
Curtice Advani;Canada;Raspberry Choco;07/01/2021;189,00 €;89;101
Rafaelita Blaksland;Canada;99% Dark & Pure;07/01/2021;2 163,00 €;269;573
Dotty Strutley;Canada;Manuka Honey Choco;07/01/2021;7 784,00 €;174;100
Madelene Upcott;Canada;Choco Coated Almonds;08/01/2021;3 703,00 €;333;511
Brien Boise;UK;After Nines;08/01/2021;1 428,00 €;241;220
Dennison Crosswaite;Australia;70% Dark Bites;08/01/2021;91,00 €;312;10
Barr Faughny;Canada;After Nines;08/01/2021;1 561,00 €;194;505
Andria Kimpton;UK;Choco Coated Almonds;08/01/2021;532,00 €;66;155
Karlen McCaffrey;Australia;After Nines;08/01/2021;4 284,00 €;44;275
Rafaelita Blaksland;Australia;White Choc;08/01/2021;322,00 €;46;296
Barr Faughny;USA;70% Dark Bites;08/01/2021;2 576,00 €;87;48
Oby Sorrel;UK;Choco Coated Almonds;08/01/2021;1 659,00 €;44;217
Karlen McCaffrey;Australia;Drinking Coco;08/01/2021;4 214,00 €;282;135
Dotty Strutley;India;Smooth Sliky Salty;08/01/2021;2 170,00 €;526;148
Ches Bonnell;India;Organic Choco Syrup;08/01/2021;630,00 €;47;41
Karlen McCaffrey;USA;Almond Choco;08/01/2021;3 689,00 €;435;82
Jan Morforth;Canada;Almond Choco;08/01/2021;805,00 €;110;241
Barr Faughny;UK;Smooth Sliky Salty;08/01/2021;1 449,00 €;69;123
Wilone O'Kielt;UK;Manuka Honey Choco;08/01/2021;1 554,00 €;5;320
Oby Sorrel;Canada;50% Dark Bites;08/01/2021;2 366,00 €;109;89
Dennison Crosswaite;USA;Drinking Coco;08/01/2021;518,00 €;276;389
Karlen McCaffrey;USA;Baker's Choco Chips;08/01/2021;1 911,00 €;226;705
Marney O'Breen;Australia;Drinking Coco;08/01/2021;8 974,00 €;163;16
Marney O'Breen;India;Choco Coated Almonds;08/01/2021;6 580,00 €;21;182
Gigi Bohling;Canada;70% Dark Bites;08/01/2021;1 953,00 €;17;25
Wilone O'Kielt;Canada;Smooth Sliky Salty;08/01/2021;1 498,00 €;191;25
Curtice Advani;Australia;Caramel Stuffed Bars;08/01/2021;7 749,00 €;18;177
Brien Boise;India;White Choc;08/01/2021;9 975,00 €;220;171
Dotty Strutley;UK;Mint Chip Choco;11/01/2021;8 911,00 €;31;12
Marney O'Breen;Australia;Milk Bars;11/01/2021;1 295,00 €;82;27
Marney O'Breen;Australia;Smooth Sliky Salty;11/01/2021;1 932,00 €;178;28
Jan Morforth;New Zealand;Fruit & Nut Bars;11/01/2021;112,00 €;92;57
Dotty Strutley;Canada;85% Dark Bars;11/01/2021;4 823,00 €;11;103
Dennison Crosswaite;Australia;Orange Choco;11/01/2021;2 968,00 €;309;210
Dotty Strutley;UK;Fruit & Nut Bars;11/01/2021;5 411,00 €;140;240
Wilone O'Kielt;USA;Eclairs;11/01/2021;98,00 €;193;288
Kaine Padly;Australia;Milk Bars;11/01/2021;2 576,00 €;227;99
Kaine Padly;Australia;Almond Choco;11/01/2021;3 934,00 €;153;607
Andria Kimpton;Canada;After Nines;11/01/2021;3 206,00 €;61;153
Kaine Padly;UK;After Nines;11/01/2021;5 992,00 €;308;136
Curtice Advani;USA;Smooth Sliky Salty;11/01/2021;77,00 €;52;75
Beverie Moffet;Australia;50% Dark Bites;11/01/2021;5 558,00 €;101;91
Kaine Padly;Canada;Peanut Butter Cubes;11/01/2021;2 548,00 €;111;227
Karlen McCaffrey;UK;50% Dark Bites;11/01/2021;973,00 €;244;264
Karlen McCaffrey;Australia;Caramel Stuffed Bars;11/01/2021;3 801,00 €;190;640
Marney O'Breen;New Zealand;Fruit & Nut Bars;11/01/2021;6 867,00 €;3;761
Karlen McCaffrey;India;After Nines;11/01/2021;2 317,00 €;63;276
Madelene Upcott;UK;50% Dark Bites;11/01/2021;462,00 €;98;147
Wilone O'Kielt;Canada;Raspberry Choco;11/01/2021;1 022,00 €;29;7
Oby Sorrel;USA;Caramel Stuffed Bars;11/01/2021;5 068,00 €;142;227
Dennison Crosswaite;USA;Fruit & Nut Bars;11/01/2021;9 793,00 €;59;106
Andria Kimpton;Australia;Smooth Sliky Salty;11/01/2021;7 210,00 €;137;219
Jan Morforth;Australia;Manuka Honey Choco;11/01/2021;4 340,00 €;197;413
Brien Boise;India;Organic Choco Syrup;11/01/2021;9 226,00 €;47;65
Barr Faughny;New Zealand;Orange Choco;12/01/2021;1 932,00 €;77;129
Husein Augar;Australia;50% Dark Bites;12/01/2021;1 337,00 €;106;133
Gigi Bohling;Canada;Spicy Special Slims;12/01/2021;1 771,00 €;282;125
Jan Morforth;India;Mint Chip Choco;12/01/2021;4 690,00 €;239;72
Andria Kimpton;UK;Orange Choco;12/01/2021;10 241,00 €;213;243
Barr Faughny;UK;Peanut Butter Cubes;12/01/2021;4 907,00 €;173;275
Curtice Advani;USA;50% Dark Bites;12/01/2021;5 817,00 €;89;119
Dotty Strutley;USA;After Nines;12/01/2021;2 527,00 €;151;277
Gigi Bohling;New Zealand;Choco Coated Almonds;12/01/2021;4 053,00 €;284;23
Wilone O'Kielt;USA;Baker's Choco Chips;12/01/2021;63,00 €;200;263
Marney O'Breen;Canada;White Choc;12/01/2021;6 559,00 €;27;619
Curtice Advani;Canada;After Nines;12/01/2021;4 921,00 €;405;799
Gunar Cockshoot;Canada;Mint Chip Choco;12/01/2021;10 738,00 €;40;135
Gunar Cockshoot;New Zealand;Almond Choco;12/01/2021;7 441,00 €;13;8
Gigi Bohling;New Zealand;99% Dark & Pure;12/01/2021;6 244,00 €;163;27
Gigi Bohling;UK;Organic Choco Syrup;12/01/2021;9 625,00 €;24;138
Kelci Walkden;USA;Peanut Butter Cubes;12/01/2021;2 303,00 €;271;194
Andria Kimpton;UK;Baker's Choco Chips;12/01/2021;406,00 €;378;94
Kaine Padly;UK;Fruit & Nut Bars;12/01/2021;6 531,00 €;209;185
Wilone O'Kielt;USA;Fruit & Nut Bars;12/01/2021;2 954,00 €;180;137
Andria Kimpton;Canada;Peanut Butter Cubes;12/01/2021;2 121,00 €;148;204
Barr Faughny;New Zealand;Smooth Sliky Salty;12/01/2021;5 026,00 €;291;222
Gunar Cockshoot;India;White Choc;12/01/2021;1 673,00 €;186;410
Beverie Moffet;New Zealand;Choco Coated Almonds;13/01/2021;1 337,00 €;350;726
Andria Kimpton;India;Mint Chip Choco;13/01/2021;4 795,00 €;116;56
Marney O'Breen;New Zealand;Milk Bars;13/01/2021;224,00 €;52;185
Rafaelita Blaksland;Australia;Caramel Stuffed Bars;13/01/2021;1 708,00 €;94;21
Wilone O'Kielt;New Zealand;Eclairs;13/01/2021;1 463,00 €;114;577
Karlen McCaffrey;Canada;Milk Bars;13/01/2021;553,00 €;272;65
Kelci Walkden;India;Smooth Sliky Salty;13/01/2021;7 812,00 €;361;265
Brien Boise;New Zealand;White Choc;13/01/2021;9 149,00 €;79;117
Jan Morforth;UK;Drinking Coco;13/01/2021;3 500,00 €;142;469
Madelene Upcott;UK;Almond Choco;13/01/2021;4 417,00 €;291;440
Brien Boise;USA;Smooth Sliky Salty;13/01/2021;4 487,00 €;46;224
Jan Morforth;Australia;Smooth Sliky Salty;13/01/2021;3 444,00 €;147;24
Dennison Crosswaite;Canada;99% Dark & Pure;14/01/2021;4 907,00 €;310;275
Gunar Cockshoot;New Zealand;Raspberry Choco;14/01/2021;1 631,00 €;35;94
Gunar Cockshoot;Canada;Eclairs;14/01/2021;4 949,00 €;110;329
Gigi Bohling;UK;Drinking Coco;14/01/2021;11 004,00 €;297;397
Barr Faughny;India;Caramel Stuffed Bars;14/01/2021;7 329,00 €;40;390
Husein Augar;India;Baker's Choco Chips;14/01/2021;1 295,00 €;69;455
Oby Sorrel;UK;Drinking Coco;14/01/2021;3 325,00 €;72;567
Beverie Moffet;New Zealand;Milk Bars;14/01/2021;6 741,00 €;123;479
Madelene Upcott;USA;Choco Coated Almonds;14/01/2021;1 925,00 €;193;174
Madelene Upcott;New Zealand;Smooth Sliky Salty;15/01/2021;2 408,00 €;112;499
Dennison Crosswaite;Australia;50% Dark Bites;15/01/2021;6 328,00 €;29;210
Ches Bonnell;USA;70% Dark Bites;15/01/2021;9 583,00 €;153;469
Gigi Bohling;Canada;After Nines;15/01/2021;5 264,00 €;303;249
Curtice Advani;India;Almond Choco;15/01/2021;2 842,00 €;124;411
Kelci Walkden;New Zealand;70% Dark Bites;15/01/2021;3 458,00 €;305;338
Dennison Crosswaite;Canada;70% Dark Bites;15/01/2021;7 672,00 €;75;861
Dotty Strutley;Australia;50% Dark Bites;18/01/2021;35,00 €;73;51
Madelene Upcott;Australia;Choco Coated Almonds;18/01/2021;4 039,00 €;193;114
Brien Boise;UK;Mint Chip Choco;18/01/2021;10 969,00 €;421;531
Curtice Advani;Canada;Orange Choco;18/01/2021;7 028,00 €;39;53
Kaine Padly;Canada;Fruit & Nut Bars;18/01/2021;5 670,00 €;120;84
Gunar Cockshoot;Australia;Drinking Coco;18/01/2021;1 645,00 €;181;100
Barr Faughny;Australia;Almond Choco;18/01/2021;2 044,00 €;237;408
Ches Bonnell;India;Choco Coated Almonds;18/01/2021;4 690,00 €;193;353
Wilone O'Kielt;Australia;Caramel Stuffed Bars;18/01/2021;5 670,00 €;120;136
Brien Boise;Australia;Choco Coated Almonds;19/01/2021;4 914,00 €;81;339
Ches Bonnell;India;Raspberry Choco;19/01/2021;3 052,00 €;35;245
Rafaelita Blaksland;Australia;Almond Choco;19/01/2021;3 976,00 €;102;352
Andria Kimpton;Canada;99% Dark & Pure;19/01/2021;4 039,00 €;138;118
Rafaelita Blaksland;India;Smooth Sliky Salty;19/01/2021;6 286,00 €;108;518
Oby Sorrel;USA;50% Dark Bites;19/01/2021;7 007,00 €;326;595
Brien Boise;Australia;Raspberry Choco;19/01/2021;1 890,00 €;457;287
Marney O'Breen;Canada;Drinking Coco;19/01/2021;2 975,00 €;262;201
Rafaelita Blaksland;USA;Choco Coated Almonds;19/01/2021;1 449,00 €;115;37
Beverie Moffet;Canada;Manuka Honey Choco;19/01/2021;4 578,00 €;4;251
Ches Bonnell;USA;White Choc;19/01/2021;1 449,00 €;146;157
Gunar Cockshoot;USA;85% Dark Bars;19/01/2021;693,00 €;428;85
Rafaelita Blaksland;India;After Nines;19/01/2021;7 322,00 €;155;165
Rafaelita Blaksland;New Zealand;50% Dark Bites;19/01/2021;2 226,00 €;233;241
Rafaelita Blaksland;USA;Fruit & Nut Bars;19/01/2021;7 763,00 €;313;355
Gunar Cockshoot;India;Caramel Stuffed Bars;19/01/2021;322,00 €;12;238
Karlen McCaffrey;Canada;Organic Choco Syrup;19/01/2021;9 219,00 €;281;263
Jan Morforth;Australia;Orange Choco;19/01/2021;2 926,00 €;496;259
Gunar Cockshoot;Australia;Fruit & Nut Bars;19/01/2021;5 831,00 €;88;135
Marney O'Breen;UK;Manuka Honey Choco;19/01/2021;798,00 €;149;163
Jan Morforth;Canada;Choco Coated Almonds;19/01/2021;3 094,00 €;323;418
Jan Morforth;USA;Peanut Butter Cubes;19/01/2021;8 043,00 €;104;123
Kelci Walkden;Australia;Spicy Special Slims;19/01/2021;9 702,00 €;261;235
Beverie Moffet;India;After Nines;19/01/2021;9 107,00 €;215;262
Gunar Cockshoot;Canada;After Nines;19/01/2021;1 218,00 €;21;1137
Barr Faughny;UK;Spicy Special Slims;19/01/2021;1 680,00 €;100;139
Dotty Strutley;Canada;Orange Choco;19/01/2021;1 295,00 €;176;63
Andria Kimpton;India;Fruit & Nut Bars;19/01/2021;2 625,00 €;167;163
Curtice Advani;UK;99% Dark & Pure;19/01/2021;1 939,00 €;80;341
Ches Bonnell;USA;Smooth Sliky Salty;19/01/2021;1 575,00 €;212;267
Dennison Crosswaite;Canada;50% Dark Bites;19/01/2021;4 690,00 €;54;268
Karlen McCaffrey;New Zealand;Drinking Coco;19/01/2021;4 606,00 €;7;298
Curtice Advani;UK;Choco Coated Almonds;20/01/2021;1 659,00 €;277;137
Barr Faughny;UK;Choco Coated Almonds;20/01/2021;2 576,00 €;9;132
Dennison Crosswaite;New Zealand;Fruit & Nut Bars;20/01/2021;413,00 €;64;151
Kelci Walkden;USA;Milk Bars;20/01/2021;819,00 €;56;106
Karlen McCaffrey;Canada;Peanut Butter Cubes;20/01/2021;5 117,00 €;141;43
Ches Bonnell;Australia;Caramel Stuffed Bars;20/01/2021;4 186,00 €;104;137
Curtice Advani;UK;Manuka Honey Choco;20/01/2021;4 452,00 €;110;34
Brien Boise;Australia;Peanut Butter Cubes;20/01/2021;3 556,00 €;24;66
Gigi Bohling;USA;Organic Choco Syrup;20/01/2021;4 767,00 €;4;308
Husein Augar;New Zealand;Peanut Butter Cubes;20/01/2021;6 629,00 €;24;139
Wilone O'Kielt;New Zealand;Fruit & Nut Bars;20/01/2021;5 915,00 €;36;889
Wilone O'Kielt;Canada;Mint Chip Choco;20/01/2021;1 358,00 €;70;208
Husein Augar;USA;Peanut Butter Cubes;20/01/2021;9 331,00 €;129;215
Kelci Walkden;Canada;Raspberry Choco;20/01/2021;84,00 €;93;59
Kaine Padly;UK;White Choc;20/01/2021;12 894,00 €;95;126
Wilone O'Kielt;Australia;Raspberry Choco;20/01/2021;2 296,00 €;374;9
Rafaelita Blaksland;UK;Peanut Butter Cubes;20/01/2021;91,00 €;199;473
Kelci Walkden;UK;Choco Coated Almonds;20/01/2021;6 405,00 €;220;373
Husein Augar;New Zealand;Eclairs;20/01/2021;4 550,00 €;175;36
Barr Faughny;USA;Spicy Special Slims;21/01/2021;7 014,00 €;255;180
Kelci Walkden;UK;Organic Choco Syrup;21/01/2021;6 979,00 €;5;164
Ches Bonnell;UK;85% Dark Bars;21/01/2021;8 344,00 €;306;248
Kelci Walkden;New Zealand;Raspberry Choco;21/01/2021;2 793,00 €;472;150
Karlen McCaffrey;UK;Almond Choco;21/01/2021;3 143,00 €;49;99
Andria Kimpton;New Zealand;Baker's Choco Chips;21/01/2021;504,00 €;357;347
Karlen McCaffrey;India;Baker's Choco Chips;21/01/2021;868,00 €;357;77
Husein Augar;India;Smooth Sliky Salty;21/01/2021;3 143,00 €;10;75
Oby Sorrel;USA;Orange Choco;21/01/2021;4 893,00 €;219;844
Marney O'Breen;Canada;Eclairs;21/01/2021;1 547,00 €;229;276
Ches Bonnell;Canada;Fruit & Nut Bars;21/01/2021;4 200,00 €;369;188
Wilone O'Kielt;Australia;Fruit & Nut Bars;21/01/2021;1 778,00 €;390;95
Barr Faughny;USA;99% Dark & Pure;21/01/2021;10 675,00 €;96;184
Dotty Strutley;USA;Drinking Coco;21/01/2021;973,00 €;184;145
Dennison Crosswaite;UK;50% Dark Bites;21/01/2021;2 310,00 €;220;44
Kelci Walkden;India;Peanut Butter Cubes;21/01/2021;217,00 €;10;333
Rafaelita Blaksland;New Zealand;After Nines;21/01/2021;3 451,00 €;66;378
Marney O'Breen;USA;Caramel Stuffed Bars;21/01/2021;4 277,00 €;49;60
Rafaelita Blaksland;UK;Spicy Special Slims;21/01/2021;7 294,00 €;10;616
Kaine Padly;New Zealand;After Nines;22/01/2021;8 365,00 €;165;238
Husein Augar;India;Caramel Stuffed Bars;22/01/2021;9 982,00 €;243;403
